故宫博物院,半天,北京市,0,,,,
天坛公园,半天,北京市,0,,,,
颐和园,半天,北京市,0,,,,
八达岭—慕田峪长城旅游区,半天,北京市,1.5,,,,
明十三陵景区(神路-定陵-长陵-昭陵),半天,北京市,1,,,,
恭王府景区,半天,北京市,0,,,,
北京奥林匹克公园(鸟巢-水立方-中国科技馆-国家奥林匹克森林公园),半天,北京市,0,,,,
天津古文化街旅游区（津门故里）,半天,北京市,1.5,天津市,2,,
天津蓟县盘山风景名胜区,一天,天津市,0,,,,
承德避暑山庄及周围寺庙景区(普陀宗乘-须弥福寺-普宁寺-普佑寺),一天,承德市,0,,,,
秦皇岛山海关景区(老龙头-山海关古城-天下第一关-孟姜女庙),一天,秦皇岛市,0,,,,
保定安新白洋淀景区(文化苑-大观园-鸳鸯岛-元妃荷园-嘎子印象-渔人乐园),一天,保定市,0,,,,
保定涞水县野三坡景区(百里峡-白草畔-鱼谷洞-龙门天关),一天,北京市,2.3,保定市,2,,
石家庄平山县西柏坡景区,一天,石家庄市,2,,,,
大同云冈石窟,半天,大同市,0,,,,
忻州五台山风景名胜区,一天,五台县,1.5,阜平县,1.5,,
晋城阳城县皇城相府生态文化旅游区,半天,晋城市,1,,,,
晋中市介休市绵山风景名胜区,半天,介休市,1,,,,
晋中市乔家大院文化园区,半天,太原市,1,平遥县,1,,
晋中市平遥县平遥古城景区,半天,晋中市,0,,,,
鄂尔多斯达拉特旗响沙湾旅游景区,一天,鄂尔多斯市,1.5,包头市,1,,
鄂尔多斯伊金霍洛旗成吉思汗陵旅游区,半天,鄂尔多斯市,1,榆林市,1.5,,
沈阳植物园,半天,沈阳市,0.5,,,,
大连老虎滩海洋公园—老虎滩极地馆,半天,大连市,0,,,,
大连金石滩景区(地质公园-发现王国-蜡像馆-文化博览广场),半天,大连市,1,,,,
本溪市本溪水洞景区,一天,沈阳市,1.5,,,,
长白山景区,一天,长春市,7,,,,
长春伪满皇宫博物馆,半天,长春市,0,,,,
长春净月潭景区,半天,长春市,0,,,,
长春市长影世纪城景区,半天,长春市,0,,,,
